"tract","pop","pop_den","p_kids","p_seniors","p_female","p_white","some_college","med_hh_inc","p_poverty"
100,7261,3.80040774193105e-09,17.1601707753753,14.144057292384,49.1392370196943,57.6504613689574,1365,48002,15.598615916955
200,7902,2.40451271643621e-09,16.211085801063,15.793470007593,51.3667425968109,58.3649708934447,1410,63727,10.2030456852792
300,2830,2.33688452498908e-09,20.3533568904594,13.0388692579505,50.530035335689,76.113074204947,745,65781,16.3417227933357
401,6258,4.59040556413606e-09,12.4161073825503,21.7321828060083,54.9536593160754,55.5289229785874,1752,32196,25.9797517962116
402,5165,2.87114725169583e-09,10.5905130687319,26.48596321394,52.0038722168441,78.0251694094869,996,61184,8.37738918259455
500,3154,1.09403285244474e-09,19.9112238427394,22.0355104629042,51.2365250475587,84.7812301838935,553,126544,4.82999682237051
600,8039,2.09460157294385e-09,18.3978106729693,12.6259485010573,49.9937803209354,63.5651200398059,1512,57023,14.5121038183179
700,4651,3.5924065257193e-09,17.2436035261234,13.6099763491722,53.6658783057407,57.4070092453236,1072,51371,15.4856773637734
800,2474,2.16715556814472e-09,19.482619240097,16.4915117219078,51.4147130153597,83.9935327405012,550,92917,7.71784232365145
900,1823,1.80787067157655e-09,15.5238617663193,21.6127262753703,53.7026878771256,77.3450356555129,229,135227,4.48256779192031
1000,1968,2.06190219791731e-09,25.2540650406504,8.94308943089431,46.6971544715447,63.2113821138211,353,75167,13.6686991869919
1100,2729,2.57350651540322e-09,18.5049468669842,11.5793330890436,51.4474166361304,68.3766947599853,466,73984,10.5899596921949
1200,6950,3.78942960595563e-09,15.841726618705,16.1151079136691,53.4244604316547,58.589928057554,1665,42232,22.7114210985179
1300,4363,3.68525505741898e-09,11.8725647490259,11.4600045840018,51.9825807930323,59.4545037818015,949,63077,11.1849644739858
1400,5703,2.66832544336684e-09,18.3061546554445,10.3103629668595,50.2191828862002,76.3282482903735,1205,70689,11.2396984043486
1500,2506,2.14099068705361e-09,18.196328810854,17.0391061452514,47.7254588986433,92.1388667198723,440,100179,4.07023144453312
1600,4400,2.15578213288503e-09,20.9090909090909,17.2954545454545,54.0227272727273,82.25,847,102558,6.51183970856102
1701,3988,4.46700039942522e-09,15.6218655967904,8.60080240722167,47.1414242728185,69.1323971915747,721,66042,11.0330992978937
1702,4493,3.50954370301594e-09,12.2635210327176,11.7070999332295,46.5390607611841,73.9594925439573,1112,65984,10.1768895014932
1800,5280,5.59881618851069e-09,12.0265151515152,4.58333333333333,44.2613636363636,67.9356060606061,979,81680,13.6742424242424
1900,4789,2.87929945423778e-09,14.1365629567759,12.4243057005638,49.00814366256,69.8266861557736,974,67450,14.0443505807814
2000,3647,3.22171975437591e-09,15.7663833287634,11.3243761996161,52.7008500137099,85.0562105840417,744,90855,8.74691527282698
2100,4103,3.00484201472605e-09,18.2793078235437,11.9912259322447,48.8910553253717,74.8720448452352,661,89900,7.73751224289912
2200,5619,2.03001098367447e-09,22.2993415198434,16.7467520911194,50.8453461470012,77.2023491724506,669,134792,2.62542708146017
2400,3005,3.07226904852304e-09,21.8302828618968,13.9434276206323,51.0482529118136,74.3760399334443,586,111964,3.36106489184692
2500,3001,3.04876085277006e-09,20.9596801066311,12.2292569143619,52.2492502499167,86.6044651782739,531,101397,6.99766744418527
2600,5011,4.02555787572434e-09,19.7565356216324,9.99800439034125,46.8170025942926,80.0039912193175,640,99583,10.8760726401916
2700,6141,3.84461694809198e-09,15.6489171144765,10.2751994789122,52.5158768930142,77.1372740595994,770,118790,6.557911908646
2800,4907,5.00784320248171e-09,18.9525168127165,7.3160790707153,52.1296107601386,88.3431832076625,623,100859,9.31322600366823
2900,4322,4.38244619422634e-09,20.6385932438686,8.86163813049514,49.9074502545118,88.6163813049514,560,96685,4.14160111059695
3000,5794,3.88011999739198e-09,22.3679668622713,8.45702450811184,51.397997928892,84.2423196410079,772,93155,6.15597440774684
3100,6215,2.78342897708841e-09,22.3008849557522,11.7135961383749,52.260659694288,86.7900241351569,1090,100468,6.34177827981281
3200,8423,3.8061701846101e-09,14.519767303811,11.6585539593969,50.0296806363529,82.9039534607622,1293,84846,9.03478570580553
3300,6557,5.05796884715915e-09,15.9981698947689,7.27466829342687,49.6263535153271,84.3220985206649,1034,92746,3.69178921568627
3400,3698,4.69794891213067e-09,20.9843158464035,9.00486749594375,54.0832882639264,86.8307193077339,530,103333,5.65170362358031
3500,3993,3.10797001674309e-09,17.0298021537691,13.4986225895317,51.5401953418482,80.4407713498623,594,83550,8.05879371515459
3600,6359,5.31486400678437e-09,11.3382607328196,12.1245478848876,47.9320647900613,77.0404151596163,682,65960,14.4419784400761
3800,2138,3.42295680234279e-09,21.6557530402245,14.4995322731525,51.1225444340505,75.6314312441534,244,91875,7.30203888098625
3900,3041,3.12279316957388e-09,22.7227885563959,14.1072015784281,51.9237093061493,78.5925682341335,467,110556,6.00858369098712
4000,3068,1.17683720474927e-09,23.4028683181226,12.1577574967405,55.3129074315515,69.6219035202086,227,74915,11.8983957219251
4100,7942,2.43549244377215e-09,24.9307479224377,14.9836313271216,49.5970788214556,83.5557794006548,771,146902,7.03638201111673
4200,8336,3.3831062875685e-09,22.3008637236084,14.4793666026871,56.4419385796545,82.5695777351248,1009,113432,5.8675305975522
4301,3668,3.74530666705006e-09,17.8844056706652,11.8047982551799,61.123227917121,73.2551799345692,408,73667,21.554091158704
4302,3803,1.14993285609181e-08,3.73389429397844,10.7809623981068,40.8361819616093,57.1391007099658,270,22880,52.3580034423408
4400,7001,7.07241322433901e-09,5.24210827024711,6.19911441222682,49.7786030567062,70.0757034709327,494,53763,35.5418138987044
4500,3008,4.48287384871916e-09,13.7965425531915,4.95345744680851,44.9800531914894,79.6210106382979,451,91538,16.6778523489933
4600,3602,1.39310658697869e-09,18.9339255968906,9.07828983897835,52.5263742365353,88.423098278734,471,120938,5.19156024430872
4700,8677,4.43734145022175e-09,8.1595021320733,11.5016710844762,50.1094848449925,81.8716146133456,1619,75881,5.37485582468281
4800,5104,3.87086975088144e-09,11.5791536050157,5.85815047021944,48.7852664576803,84.1496865203762,831,106338,4.25156739811912
4900,7034,6.47802021601129e-09,7.70543076485641,5.43076485641171,53.866932044356,85.2004549331817,967,72256,4.53102453102453
5000,3810,5.03048501314967e-09,11.6535433070866,8.79265091863517,49.4750656167979,80.997375328084,619,66594,6.01049868766404
5100,3639,4.12719680908298e-09,17.5597691673537,10.7447100851882,49.2717779609783,82.7425116790327,391,98851,7.77686177521297
5200,6935,7.17148553584189e-09,7.8731074260995,5.17664023071377,45.0901225666907,52.1268925739005,740,40208,41.7668356263577
5301,7456,1.3718923834299e-08,1.71673819742489,1.79721030042918,50.4023605150215,45.4667381974249,647,14155,59.3280632411067
5302,4996,1.99264468103244e-09,1.52121697357886,0.240192153722978,53.9831865492394,44.915932746197,56,10865,57.9710144927536
5400,5406,4.5077082611747e-09,10.377358490566,6.65926748057714,51.2023677395486,79.2822789493156,635,86250,7.45467998520163
5600,6623,2.1836984960635e-09,21.1082590970859,19.7342593990639,53.072625698324,86.7129699531934,749,159652,2.12894458704515
